Work Order,Start Date,Start Time,Duration(hrs),Contract,Type,Location,Addl Loc,Description,Status,Substatus,Project Manager,Flags,End Date,End Time,GR,Suites
110077,10/18/2019,6:00:00 AM,24,CFTX81D,SETUP,BLD,,DOLE FOOD CO INC extended set-up,ACTIVE,CONF,JATINDRA DASH,,10/19/2019,6:00:00 AM,GR,ASPEN VAIL
110077,10/18/2019,6:00:00 AM,24,CFTYABD,SETUP,BLD,,DOLE FOOD CO INC extended set-up,ACTIVE,CONF,JATINDRA DASH,,10/19/2019,6:00:00 AM,GR,
110077,10/18/2019,6:00:00 AM,24,CFTX80D,SETUP,BLD,,DOLE FOOD CO INC extended set-up,ACTIVE,CONF,JATINDRA DASH,,10/19/2019,6:00:00 AM,GR,ASPEN VAIL
110077,10/19/2019,6:00:00 AM,60,CFTYABD,TEST,BLD,,DOLE FOOD CO INC,ACTIVE,CONF,JATINDRA DASH,,10/21/2019,6:00:00 PM,GR,ASPEN
110077,10/19/2019,6:00:00 AM,60,CFTX8ZD,TEST,BLD,IRU,DOLE FOOD CO INC,ACTIVE,CONF,JATINDRA DASH,EBRS,10/21/2019,6:00:00 PM,GR,
110077,10/19/2019,6:00:00 AM,60,CFTX82D,TEST,BLD,,DOLE FOOD CO INC,ACTIVE,CONF,JATINDRA DASH,,10/21/2019,6:00:00 PM,GR,ASPEN
110077,10/19/2019,6:00:00 AM,60,CFTYAND,TEST,BLD,,DOLE FOOD CO INC,ACTIVE,CONF,JATINDRA DASH,,10/21/2019,6:00:00 PM,GR,VAIL
110077,10/19/2019,6:00:00 AM,60,CFTX80D,TEST,BLD,,DOLE FOOD CO INC,ACTIVE,CONF,JATINDRA DASH,,10/21/2019,6:00:00 PM,GR,ASPEN VAIL
110077,10/19/2019,6:00:00 AM,60,CFTX81D,TEST,BLD,,DOLE FOOD CO INC,ACTIVE,CONF,JATINDRA DASH,,10/21/2019,6:00:00 PM,GR,ASPEN OFFICE-229 VAIL
110098,5/6/2019,8:00:00 AM,72,CFTRRDM,TEST,BLD,IRU,AARP,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,EBRS,5/9/2019,8:00:00 AM,GR,VAIL
110098,5/6/2019,8:00:00 AM,72,CFTRRFM,TEST,BLD,,AARP,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,,5/9/2019,8:00:00 AM,GR,VAIL
110099,11/6/2019,8:00:00 AM,72,CFTRRDM,TEST,BLD,IRU,AARP,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,EBRS,11/9/2019,8:00:00 AM,GR,VAIL
110099,11/6/2019,8:00:00 AM,72,CFTRRFM,TEST,BLD,,AARP,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,,11/9/2019,8:00:00 AM,GR,VAIL
110099,11/4/2019,8:00:00 AM,72,CFTRRFM,TEST,BLD,,AARP,CANCEL,CONF,MANIKANTAN NAMASIVAYAM VEERA,,11/7/2019,8:00:00 AM,GR,VAIL
110099,11/4/2019,8:00:00 AM,72,CFTRRDM,TEST,BLD,IRU,AARP,CANCEL,CONF,MANIKANTAN NAMASIVAYAM VEERA,EBRS,11/7/2019,8:00:00 AM,GR,VAIL
110106,6/5/2019,12:00:00 AM,31,CFT2LGC,SETUP,BLD,,GREAT WEST CASUALTY CO CS/Blade setup -,ACTIVE,CONF,ASHOK P KRISHNA MURTHY,,6/6/2019,7:00:00 AM,GR,SNOWMASS
110106,6/6/2019,7:00:00 AM,16,CFT2K4C,TEST,BLD,,GREAT WEST CASUALTY CO,ACTIVE,CONF,ASHOK P KRISHNA MURTHY,,6/6/2019,11:00:00 PM,GR,SNOWMASS
110106,6/6/2019,7:00:00 AM,16,CFT2LGC,TEST,BLD,,GREAT WEST CASUALTY CO,ACTIVE,CONF,ASHOK P KRISHNA MURTHY,,6/6/2019,11:00:00 PM,GR,SNOWMASS
110106,6/6/2019,7:00:00 AM,16,CFTDKYR,TEST,BLD,,GREAT WEST CASUALTY CO,ACTIVE,CONF,ASHOK P KRISHNA MURTHY,,6/6/2019,11:00:00 PM,GR,SNOWMASS
110106,6/6/2019,7:00:00 AM,16,CFT0C9D,OTHERSVC,BLD,,GREAT WEST CASUALTY CO,ACTIVE,CONF,ASHOK P KRISHNA MURTHY,,6/6/2019,11:00:00 PM,GR,
110106,6/6/2019,7:00:00 AM,16,CFT2KWC,TEST,BLD,,GREAT WEST CASUALTY CO,ACTIVE,CONF,ASHOK P KRISHNA MURTHY,EBRS,6/6/2019,11:00:00 PM,GR,
110106,6/6/2019,7:00:00 AM,16,CFT87TC,TEST,BLD,,GREAT WEST CASUALTY CO,ACTIVE,CONF,ASHOK P KRISHNA MURTHY,,6/6/2019,11:00:00 PM,GR,
110106,6/5/2019,1:00:00 PM,18,CFT2LGC,SETUP,BLD,,GREAT WEST CASUALTY CO CS/Blade setup -,CANCEL,CONF,ASHOK P KRISHNA MURTHY,,6/6/2019,7:00:00 AM,GR,SNOWMASS
110111,9/8/2019,12:00:00 AM,32,CFTK8SQ,SETUP,BLD,,BLUE CROSS AND BLUE SHIELD OF native set,ACTIVE,CONF,Virupaksheswara Ramapragada,,9/9/2019,8:00:00 AM,GR,ASPEN OFFICE-226
110111,9/9/2019,8:00:00 AM,72,CFTK8SQ,TEST,BLD,,BLUE CROSS AND BLUE SHIELD OF,ACTIVE,CONF,Virupaksheswara Ramapragada,,9/12/2019,8:00:00 AM,GR,ASPEN OFFICE-226
110111,9/9/2019,8:00:00 AM,72,CFTL11Q,TEST,BLD,,BLUE CROSS AND BLUE SHIELD OF,ACTIVE,CONF,Virupaksheswara Ramapragada,EBRS,9/12/2019,8:00:00 AM,GR,
110111,9/6/2019,8:00:00 AM,72,CFTDNTR,SETUP,BLD,,BLUE CROSS AND BLUE SHIELD OF blade  & C,CANCEL,CONF,Virupaksheswara Ramapragada,,9/9/2019,8:00:00 AM,GR,ASPEN VAIL
110111,9/8/2019,8:00:00 AM,24,CFTK8TQ,SETUP,BLD,,BLUE CROSS AND BLUE SHIELD OF c/s set-up,CANCEL,PEND,Virupaksheswara Ramapragada,,9/9/2019,8:00:00 AM,GR,VAIL
110111,9/9/2019,8:00:00 AM,72,CFTDNTR,TEST,BLD,,BLUE CROSS AND BLUE SHIELD OF,CANCEL,CONF,Virupaksheswara Ramapragada,,9/12/2019,8:00:00 AM,GR,ASPEN VAIL
110111,9/9/2019,8:00:00 AM,72,CFTLNLQ,TEST,BLD,,BLUE CROSS AND BLUE SHIELD OF,CANCEL,CONF,Virupaksheswara Ramapragada,,9/12/2019,8:00:00 AM,GR,
110111,9/9/2019,8:00:00 AM,72,CFTK8TQ,TEST,BLD,,BLUE CROSS AND BLUE SHIELD OF,CANCEL,CONF,Virupaksheswara Ramapragada,,9/12/2019,8:00:00 AM,GR,
110111,9/9/2019,8:00:00 AM,72,CFTK87Q,TEST,BLD,,BLUE CROSS AND BLUE SHIELD OF,CANCEL,CONF,Virupaksheswara Ramapragada,,9/12/2019,8:00:00 AM,GR,VAIL
110111,9/11/2019,10:00:00 AM,8,CFTSQKH,TEST,STF,BLD IRU RTP,BLUE CROSS & BLUE SHIELD,CANCEL,CONF,Virupaksheswara Ramapragada,,9/11/2019,6:00:00 PM,GR,
110111,12/8/2019,8:00:00 AM,72,CFTDNTR,SETUP,BLD,,BLUE CROSS AND BLUE SHIELD OF blade  & C,CANCEL,WIP,Virupaksheswara Ramapragada,,12/11/2019,8:00:00 AM,GR,ELDORA SNOWMASS STEAMBOAT
110111,12/10/2019,12:00:00 AM,32,CFTK8SQ,SETUP,BLD,,BLUE CROSS AND BLUE SHIELD OF native set,CANCEL,WIP,Virupaksheswara Ramapragada,,12/11/2019,8:00:00 AM,GR,SNOWMASS
110111,12/11/2019,8:00:00 AM,72,CFTLNLQ,TEST,BLD,,BLUE CROSS AND BLUE SHIELD OF,CANCEL,WIP,Virupaksheswara Ramapragada,,12/14/2019,8:00:00 AM,GR,
110111,12/11/2019,8:00:00 AM,72,CFTK8TQ,TEST,BLD,,BLUE CROSS AND BLUE SHIELD OF,CANCEL,WIP,Virupaksheswara Ramapragada,,12/14/2019,8:00:00 AM,GR,
110111,12/11/2019,8:00:00 AM,72,CFTL11Q,TEST,BLD,,BLUE CROSS AND BLUE SHIELD OF,CANCEL,WIP,Virupaksheswara Ramapragada,EBRS,12/14/2019,8:00:00 AM,GR,
110111,12/11/2019,8:00:00 AM,72,CFTDNTR,TEST,BLD,,BLUE CROSS AND BLUE SHIELD OF,CANCEL,WIP,Virupaksheswara Ramapragada,,12/14/2019,8:00:00 AM,GR,ELDORA SNOWMASS STEAMBOAT
110111,12/11/2019,8:00:00 AM,72,CFTK87Q,TEST,BLD,,BLUE CROSS AND BLUE SHIELD OF,CANCEL,WIP,Virupaksheswara Ramapragada,,12/14/2019,8:00:00 AM,GR,ELDORA
110111,12/11/2019,8:00:00 AM,72,CFTK8SQ,TEST,BLD,,BLUE CROSS AND BLUE SHIELD OF,CANCEL,WIP,Virupaksheswara Ramapragada,NATIV,12/14/2019,8:00:00 AM,GR,OFFICE-226 SNOWMASS
110111,12/13/2019,8:00:00 AM,8,CFTSQKH,TEST,STF,BLD IRU RTP,BLUE CROSS & BLUE SHIELD,CANCEL,WIP,Virupaksheswara Ramapragada,,12/13/2019,4:00:00 PM,GR,
110114,4/8/2019,12:00:00 AM,32,CFTLKXF,SETUP,STF,,AK STEEL CORP Shark set up,ACTIVE,CONF,Bonda Madhusudana Rao,,4/9/2019,8:00:00 AM,GR,
110114,4/9/2019,8:00:00 AM,48,CFTLKYF,TEST,STF,,AK STEEL CORP,ACTIVE,CONF,Bonda Madhusudana Rao,,4/11/2019,8:00:00 AM,GR,FIR
110114,4/9/2019,8:00:00 AM,48,CFTLKXF,TEST,STF,,AK STEEL CORP,ACTIVE,CONF,Bonda Madhusudana Rao,EBRS,4/11/2019,8:00:00 AM,GR,A
110114,4/11/2019,8:00:00 AM,24,CFTLKXF,BREAKDWN,STF,,AK STEEL CORP Shark brk dwn,ACTIVE,CONF,Bonda Madhusudana Rao,,4/12/2019,8:00:00 AM,GR,
110114,4/9/2019,8:00:00 AM,48,CFTLKYF,TEST,STF,,AK STEEL CORP,CANCEL,PEND,Bonda Madhusudana Rao,XSITE,4/11/2019,8:00:00 AM,GR,FIR
110127,5/13/2019,8:00:00 AM,56,2K61706,TEST,RTP,,IGA IMD EP1,ACTIVE,CONF,Daljeet Singh,,5/15/2019,4:00:00 PM,GR,CAPE_LOOKOUT
110127,5/13/2019,8:00:00 AM,56,CFTK6YK,TEST,RTP,,IGA GENERAL LEDGER,ACTIVE,CONF,Daljeet Singh,,5/15/2019,4:00:00 PM,GR,CAPE_LOOKOUT
110140,4/2/2019,8:00:00 AM,4,3762Q,NETTEST,BLD,,STATE OF SOUTH DAKOTA,ACTIVE,CONF,Muralidhar R Reddy,EBRS,4/2/2019,12:00:00 PM,GR,
110145,11/14/2019,8:00:00 AM,96,CFT41FD,SETUP,BLD,,VIRGINIA MASON MEDICAL CENTER CS- Setup,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,,11/18/2019,8:00:00 AM,GR,
110145,11/18/2019,8:00:00 AM,48,CFT41FD,TEST,BLD,,VIRGINIA MASON MEDICAL CENTER,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,,11/20/2019,8:00:00 AM,GR,
110145,11/18/2019,8:00:00 AM,48,CFTMBRR,TEST,BLD,,VIRGINIA MASON MEDICAL CENTER,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,EXP,11/20/2019,8:00:00 AM,GR,ELDORA
110145,11/18/2019,8:00:00 AM,48,CFT6J0D,TEST,BLD,,VIRGINIA MASON MEDICAL CENTER,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,,11/20/2019,8:00:00 AM,GR,ELDORA
110145,11/18/2019,8:00:00 AM,48,CFT6JZD,TEST,BLD,,VIRGINIA MASON MEDICAL CENTER,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,,11/20/2019,8:00:00 AM,GR,
110145,11/18/2019,8:00:00 AM,48,CFT67FF,OTHERSVC,BLD,,VIRGINIA MASON MEDICAL CENTER,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,,11/20/2019,8:00:00 AM,GR,
110145,11/18/2019,8:00:00 AM,48,CFT6J1D,TEST,BLD,,VIRGINIA MASON MEDICAL CENTER,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,,11/20/2019,8:00:00 AM,GR,
110145,10/22/2019,8:00:00 AM,48,CFT67FF,OTHERSVC,BLD,,VIRGINIA MASON MEDICAL CENTER,CANCEL,WIP,MANIKANTAN NAMASIVAYAM VEERA,EXP,10/24/2019,8:00:00 AM,GR,
110149,6/3/2019,8:00:00 AM,120,2H30716,TEST,RTP,,IGA CHIS,ACTIVE,CONF,Daljeet Singh,,6/8/2019,8:00:00 AM,GR,
110151,4/5/2019,8:00:00 AM,72,CFT69NF,SETUP,BLD,,COOPERVISION INC CS setup -,ACTIVE,CONF,Bonda Madhusudana Rao,,4/8/2019,8:00:00 AM,GR,CRESTED_BUTTE
110151,4/8/2019,8:00:00 AM,72,CFT69NF,TEST,BLD,IRU,COOPERVISION INC,ACTIVE,CONF,Bonda Madhusudana Rao,,4/11/2019,8:00:00 AM,GR,CRESTED_BUTTE
110151,4/8/2019,8:00:00 AM,72,CFT67CR,TEST,BLD,,COOPERVISION INC,ACTIVE,CONF,Bonda Madhusudana Rao,,4/11/2019,8:00:00 AM,GR,CRESTED_BUTTE
110151,4/8/2019,8:00:00 AM,72,CFTBL8Q,RRTEST,BLD,,COOPERVISION INC,ACTIVE,CONF,Bonda Madhusudana Rao,,4/11/2019,8:00:00 AM,GR,
110157,7/8/2019,8:00:00 AM,72,CFTK6YK,TEST,RTP,,IGA GENERAL LEDGER,ACTIVE,CONF,Noor Mohammed,,7/11/2019,8:00:00 AM,GR,CAPE_HATTERAS
110157,7/8/2019,8:00:00 AM,72,CFTMAYG,TEST,RTP,,IGA WWPS,ACTIVE,CONF,Noor Mohammed,,7/11/2019,8:00:00 AM,GR,CAPE_FEAR CAPE_HATTERAS
110158,6/1/2019,8:00:00 AM,48,CFT66TQ,SETUP,BLD,,HYSTER-YALE GROUP INC Blade setup -,ACTIVE,CONF,Noor Mohammed,,6/3/2019,8:00:00 AM,GR,STEAMBOAT
110158,6/3/2019,8:00:00 AM,96,CFT66RQ,TEST,BLD,,HYSTER-YALE GROUP INC,ACTIVE,CONF,Noor Mohammed,,6/7/2019,8:00:00 AM,GR,BRECKENRIDGE
110158,6/3/2019,8:00:00 AM,96,CFT66SQ,TEST,BLD,,NACCO MATERIALS HANDLING GROUP INC,ACTIVE,CONF,Noor Mohammed,EBRS,6/7/2019,8:00:00 AM,GR,
110158,6/3/2019,8:00:00 AM,96,CFT66TQ,TEST,BLD,,HYSTER-YALE GROUP INC,ACTIVE,CONF,Noor Mohammed,,6/7/2019,8:00:00 AM,GR,STEAMBOAT
110159,11/30/2019,8:00:00 AM,48,CFT66TQ,SETUP,BLD,,HYSTER-YALE GROUP INC Blade setup -,ACTIVE,CONF,Noor Mohammed,,12/2/2019,8:00:00 AM,GR,BRECKENRIDGE
110159,12/2/2019,8:00:00 AM,96,CFT66TQ,TEST,BLD,,HYSTER-YALE GROUP INC,ACTIVE,CONF,Noor Mohammed,,12/6/2019,8:00:00 AM,GR,BRECKENRIDGE NCA2
110159,12/2/2019,8:00:00 AM,96,CFT66SQ,TEST,BLD,,NACCO MATERIALS HANDLING GROUP INC,ACTIVE,CONF,Noor Mohammed,EBRS,12/6/2019,8:00:00 AM,GR,
110159,12/2/2019,8:00:00 AM,96,CFT66RQ,TEST,BLD,,HYSTER-YALE GROUP INC,ACTIVE,CONF,Noor Mohammed,,12/6/2019,8:00:00 AM,GR,BRECKENRIDGE
110160,4/11/2019,6:00:00 AM,24,CFTR41P,SETUP,STF,,KOREA DEV BANK NY C/S set-up,ACTIVE,CONF,Virupaksheswara Ramapragada,,4/12/2019,6:00:00 AM,GR,BOWLINGALLEY GOLDENLARCH HEMLOCK IRONWOOD
110160,4/12/2019,6:00:00 AM,12,CFTR41P,TEST,STF,IRU,KOREA DEV BANK NY,ACTIVE,CONF,Virupaksheswara Ramapragada,EBRS,4/12/2019,6:00:00 PM,GR,BOWLINGALLEY GOLDENLARCH HEMLOCK IRONWOOD
110160,4/6/2019,12:00:00 AM,4,CFTR41P,SETUP,STF,,KOREA DEV BANK NY c/s set-up,CANCEL,WIP,Virupaksheswara Ramapragada,,4/6/2019,4:00:00 AM,GR,
110160,4/6/2019,6:00:00 AM,12,CFTR41P,SETUP,STF,,KOREA DEV BANK NY C/S st-up,CANCEL,WIP,Virupaksheswara Ramapragada,,4/6/2019,6:00:00 PM,GR,GOLDENLARCH
110160,4/6/2019,6:00:00 AM,12,CFTR41P,TEST,STF,,KOREA DEV BANK NY,CANCEL,CONF,Virupaksheswara Ramapragada,,4/6/2019,6:00:00 PM,GR,
110160,4/6/2019,6:00:00 AM,12,CFTR41P,SETUP,STF,,KOREA DEV BANK NY C/S st-up,CANCEL,CONF,Virupaksheswara Ramapragada,,4/6/2019,6:00:00 PM,GR,IRONWOOD
110160,4/6/2019,6:00:00 AM,12,CFTR41P,TEST,STF,IRU,KOREA DEV BANK NY,CANCEL,WIP,Virupaksheswara Ramapragada,EBRS,4/6/2019,6:00:00 PM,GR,BOWLINGALLEY IRONWOOD
110160,4/6/2019,6:00:00 AM,12,CFTR41P,TEST,STF,IRU,KOREA DEV BANK NY,CANCEL,PEND,Virupaksheswara Ramapragada,EBRS,4/6/2019,6:00:00 PM,GR,BOWLINGALLEY IRONWOOD
110160,4/6/2019,6:00:00 AM,12,CFTR41P,TEST,STF,IRU,KOREA DEV BANK NY,CANCEL,PEND,Virupaksheswara Ramapragada,EBRS,4/6/2019,6:00:00 PM,GR,BOWLINGALLEY IRONWOOD
110160,4/26/2019,6:00:00 AM,12,CFTR41P,SETUP,STF,,KOREA DEV BANK NY C/S st-up,CANCEL,PEND,Virupaksheswara Ramapragada,,4/26/2019,6:00:00 PM,GR,LINDEN
110160,4/26/2019,6:00:00 AM,12,CFTR41P,TEST,STF,IRU,KOREA DEV BANK NY,CANCEL,WIP,Virupaksheswara Ramapragada,,4/26/2019,6:00:00 PM,GR,
110160,4/26/2019,6:00:00 AM,12,CFTR41P,SETUP,STF,IRU,KOREA DEV BANK NY c/s  set-up,CANCEL,CONF,Virupaksheswara Ramapragada,,4/26/2019,6:00:00 PM,GR,CHESTNUT PINE
110161,2/4/2019,8:00:00 AM,40,INTSTF01,MAINT,STF,,Striker MPLS circuit issue,ACTIVE,CONF,Kristy Varga,EBRS,2/6/2019,12:00:00 AM,,1-CS 2-CS 3-CS 3-EUS 4-CS A B BIRCH BLRM BOWLINGAL
110162,5/18/2019,8:00:00 AM,8,CFT8ALK,TEST,STF,IRU,STATE BANK OF INDIA,ACTIVE,CONF,Daljeet Singh,EBRS,5/18/2019,4:00:00 PM,GR,VENUS
110162,5/4/2019,8:00:00 AM,8,CFT8ALK,TEST,STF,IRU,STATE BANK OF INDIA,CANCEL,CONF,Daljeet Singh,EBRS,5/4/2019,4:00:00 PM,GR,VENUS
110174,7/8/2019,12:00:00 AM,24,CFTNPBD,SETUP,BLD,,MILLERS CAPITAL INSURANCE CO CS Setup,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,,7/9/2019,12:00:00 AM,GR,ASPEN
110174,7/9/2019,12:00:00 AM,48,CFTNPBD,TEST,BLD,,MILLERS CAPITAL INSURANCE CO,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,EBRS,7/11/2019,12:00:00 AM,GR,ASPEN
110174,7/9/2019,12:00:00 AM,48,CFT9JRM,TEST,BLD,,MILLERS CAPITAL INSURANCE CO,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,,7/11/2019,12:00:00 AM,GR,ASPEN
110174,7/8/2019,8:00:00 AM,24,CFTNPBD,SETUP,BLD,,MILLERS CAPITAL INSURANCE CO CS Setup,CANCEL,CONF,MANIKANTAN NAMASIVAYAM VEERA,,7/9/2019,8:00:00 AM,GR,ASPEN
110174,7/9/2019,8:00:00 AM,48,CFT9JRM,TEST,BLD,,MILLERS CAPITAL INSURANCE CO,CANCEL,CONF,MANIKANTAN NAMASIVAYAM VEERA,,7/11/2019,8:00:00 AM,GR,ASPEN
110174,7/9/2019,8:00:00 AM,48,CFTNPBD,TEST,BLD,,MILLERS CAPITAL INSURANCE CO,CANCEL,CONF,MANIKANTAN NAMASIVAYAM VEERA,EBRS,7/11/2019,8:00:00 AM,GR,ASPEN
110180,8/26/2019,8:00:00 AM,72,CFTK6YK,TEST,RTP,,IGA GENERAL LEDGER,ACTIVE,CONF,Noor Mohammed,,8/29/2019,8:00:00 AM,GR,KILL_DEVIL_HILLS
110180,8/26/2019,8:00:00 AM,72,CFTK6ZK,TEST,RTP,,IGA GENERAL LEDGER,ACTIVE,CONF,Noor Mohammed,,8/29/2019,8:00:00 AM,GR,KILL_DEVIL_HILLS
110180,8/26/2019,8:00:00 AM,72,2J35121,TEST,RTP,,IGA SAP PP1,ACTIVE,CONF,Noor Mohammed,,8/29/2019,8:00:00 AM,GR,KILL_DEVIL_HILLS
110185,6/14/2019,12:00:00 AM,24,CFT0X4R,TEST,RTP,,MIAMI PARKING AUTHORITY,ACTIVE,CONF,Udaya Rajanna,,6/15/2019,12:00:00 AM,GR,KITTY_HAWK
110191,10/9/2019,8:00:00 AM,48,CFT2CNF,TEST,COL,IRU STF,BMW FINANCIAL SERVICES NA LLC,ACTIVE,CONF,Udaya Rajanna,EBRS ACD,10/11/2019,8:00:00 AM,GR,SUITE-A SUITE-B
110192,3/31/2019,12:00:00 AM,32,R31417,SETUP,RTP,,IGA TRI-STATE native set-up,ACTIVE,CONF,Daljeet Singh,,4/1/2019,8:00:00 AM,GR,KITTY_HAWK
110192,4/1/2019,8:00:00 AM,120,R31417,TEST,RTP,,IGA TRI-STATE,ACTIVE,CONF,Daljeet Singh,,4/6/2019,8:00:00 AM,GR,KITTY_HAWK
110196,8/12/2019,8:00:00 AM,48,AK00702,TEST,BLD,,IGA SILICON VALLEY LABS,ACTIVE,CONF,Daljeet Singh,,8/14/2019,8:00:00 AM,GR,OFFICE-227 STEAMBOAT
110196,9/16/2019,8:00:00 AM,48,AK00702,TEST,BLD,,IGA SILICON VALLEY LABS,CANCEL,WIP,Daljeet Singh,,9/18/2019,8:00:00 AM,GR,OFFICE-227 STEAMBOAT
110200,7/10/2019,12:00:00 AM,32,CFTDFJS,SETUP,STF,,IGA WWD Shark set-up,ACTIVE,CONF,Noor Mohammed,,7/11/2019,8:00:00 AM,GR,
110200,7/11/2019,8:00:00 AM,24,CFTDFJS,TEST,STF,,IGA WWD,ACTIVE,CONF,Noor Mohammed,,7/12/2019,8:00:00 AM,GR,C
110200,7/11/2019,8:00:00 AM,24,CFT2J5M,TEST,STF,,IGA WWD,ACTIVE,CONF,Noor Mohammed,EBRS,7/12/2019,8:00:00 AM,GR,CHESTNUT
110200,7/12/2019,8:00:00 AM,24,CFTDFJS,SETUP,STF,,IGA WWD Shark brk dwn,ACTIVE,CONF,Noor Mohammed,,7/13/2019,8:00:00 AM,GR,
110207,4/2/2019,12:00:00 AM,32,CFTDWDJ,SETUP,STF,,RAINBOW APPARELS CO Shark set-up,ACTIVE,CONF,Ajas Abdulsalam,,4/3/2019,8:00:00 AM,GR,
110207,4/2/2019,8:00:00 AM,24,CFTDWFJ,SETUP,STF,IRU,RAINBOW APPARELS CO VDI  PC set-up,ACTIVE,CONF,Ajas Abdulsalam,,4/3/2019,8:00:00 AM,GR,FIR
110207,4/3/2019,12:00:00 AM,8,CFTDWDJ,SETUP,STF,,RAINBOW APPARELS CO LPAR set - up,ACTIVE,CONF,Ajas Abdulsalam,,4/3/2019,8:00:00 AM,GR,FIR
110207,4/3/2019,8:00:00 AM,20,CFTDWDJ,TEST,STF,,RAINBOW APPARELS CO,ACTIVE,CONF,Ajas Abdulsalam,EBRS,4/4/2019,4:00:00 AM,GR,FIR G-D/S
110207,4/3/2019,8:00:00 AM,20,CFTDWFJ,TEST,STF,IRU,RAINBOW APPARELS CO,ACTIVE,CONF,Ajas Abdulsalam,,4/4/2019,4:00:00 AM,GR,FIR
110207,4/4/2019,4:00:00 AM,8,CFTDWDJ,SETUP,STF,,RAINBOW APPARELS CO LPAR brk dwn,ACTIVE,CONF,Ajas Abdulsalam,,4/4/2019,12:00:00 PM,GR,FIR
110207,4/4/2019,4:00:00 AM,24,CFTDWDJ,SETUP,STF,,RAINBOW APPARELS CO Shark brk dwn,ACTIVE,CONF,Ajas Abdulsalam,,4/5/2019,4:00:00 AM,GR,
110209,6/11/2019,12:00:00 AM,8,CFTPA6M,SETUP,STF,,ASCO VALVE INC c/s set-up,ACTIVE,CONF,Virupaksheswara Ramapragada,,6/11/2019,8:00:00 AM,GR,BIRCH
110209,6/11/2019,8:00:00 AM,16,CFTY4CM,TEST,STF,,ASCO VALVE INC,ACTIVE,CONF,Virupaksheswara Ramapragada,EBRS,6/12/2019,12:00:00 AM,GR,
110209,6/11/2019,8:00:00 AM,16,CFTPA6M,TEST,STF,IRU,ASCO VALVE INC,ACTIVE,CONF,Virupaksheswara Ramapragada,,6/12/2019,12:00:00 AM,GR,BIRCH
110209,6/10/2019,8:00:00 PM,8,CFTPA8M,SETUP,STF,,ASCO VALVE INC LPAR set-up,CANCEL,CONF,Virupaksheswara Ramapragada,,6/11/2019,4:00:00 AM,GR,BIRCH
110209,6/11/2019,4:00:00 AM,16,CFTPA8M,TEST,STF,,ASCO VALVE INC,CANCEL,CONF,Virupaksheswara Ramapragada,,6/11/2019,8:00:00 PM,GR,BIRCH
110209,6/11/2019,8:00:00 PM,8,CFTPA8M,SETUP,STF,,ASCO VALVE INC LPAR brk dwn,CANCEL,CONF,Virupaksheswara Ramapragada,,6/12/2019,4:00:00 AM,GR,BIRCH
110212,9/8/2019,12:00:00 AM,32,CFTZ4JD,SETUP,STF,,MVP HEALTH PLAN INC dasd setup,ACTIVE,CONF,JATINDRA DASH,,9/9/2019,8:00:00 AM,GR,
110212,9/8/2019,4:00:00 AM,28,CFTZ46D,SETUP,STF,,MVP HEALTH PLAN INC cs setup,ACTIVE,CONF,JATINDRA DASH,,9/9/2019,8:00:00 AM,GR,
110212,9/9/2019,8:00:00 AM,104,CFTZ46D,TEST,STF,,MVP HEALTH PLAN INC,ACTIVE,CONF,JATINDRA DASH,,9/13/2019,4:00:00 PM,GR,HEMLOCK
110212,9/9/2019,8:00:00 AM,104,CFTZ4RD,TEST,STF,,MVP HEALTH PLAN INC,ACTIVE,CONF,JATINDRA DASH,,9/13/2019,4:00:00 PM,GR,
110212,9/9/2019,8:00:00 AM,104,CFTZ4JD,TEST,STF,,MVP HEALTH PLAN INC,ACTIVE,CONF,JATINDRA DASH,,9/13/2019,4:00:00 PM,GR,
110212,9/9/2019,8:00:00 AM,106,CFT0N4Q,TEST,STF,,MVP HEALTH PLAN INC,ACTIVE,CONF,JATINDRA DASH,EBRS,9/13/2019,6:00:00 PM,GR,
110212,9/9/2019,8:00:00 AM,106,CFTFCLR,TEST,STF,,MVP HEALTH PLAN INC,ACTIVE,CONF,JATINDRA DASH,,9/13/2019,6:00:00 PM,GR,HEMLOCK
110212,9/13/2019,4:00:00 PM,24,CFTZ4JD,BREAKDWN,STF,,MVP HEALTH PLAN INC dasd breakdown,ACTIVE,CONF,JATINDRA DASH,,9/14/2019,4:00:00 PM,GR,
