Work Order,Start Date,Start Time,Duration(hrs),Contract,Type,Location,Addl Loc,Description,Status,Substatus,Project Manager,Flags,End Date,End Time,GR,Suites
110019,3/5/2019,10:00:00 PM,42,CFTT1KD,TEST,STF,,PORT AUTHORITY OF NEW YORK AND NEW,ACTIVE,CONF,JATINDRA DASH,,3/7/2019,4:00:00 PM,GR,
110019,3/7/2019,4:00:00 PM,24,CFTKYDC,SETUP,STF,,PORT AUTHORITY OF NEW YORK AND NEW Shark,ACTIVE,CONF,JATINDRA DASH,,3/8/2019,4:00:00 PM,GR,
110020,6/10/2019,2:00:00 PM,32,CFTKYDC,SETUP,STF,,PORT AUTHORITY OF NEW YORK AND NEW Shark,ACTIVE,CONF,JATINDRA DASH,EXP,6/11/2019,10:00:00 PM,GR,
110020,6/10/2019,2:00:00 PM,32,CFTKYGC,SETUP,STF,,PORT AUTHORITY OF NEW YORK AND NEW C/S e,ACTIVE,CONF,JATINDRA DASH,EXP,6/11/2019,10:00:00 PM,GR,HEMLOCK
110020,6/11/2019,10:00:00 PM,42,CFTKYNC,TEST,STF,,PORT AUTHORITY OF NEW YORK AND NEW,ACTIVE,CONF,JATINDRA DASH,EXP EBRS,6/13/2019,4:00:00 PM,GR,
110020,6/11/2019,10:00:00 PM,42,CFTT1KD,TEST,STF,,PORT AUTHORITY OF NEW YORK AND NEW,ACTIVE,CONF,JATINDRA DASH,EXP,6/13/2019,4:00:00 PM,GR,
110020,6/11/2019,10:00:00 PM,42,CFTKYGC,TEST,STF,,PORT AUTHORITY OF NEW YORK AND NEW,ACTIVE,CONF,JATINDRA DASH,EXP,6/13/2019,4:00:00 PM,GR,GOLDENLARCH
110020,6/11/2019,10:00:00 PM,42,CFTKYDC,TEST,STF,,PORT AUTHORITY OF NEW YORK AND NEW,ACTIVE,CONF,JATINDRA DASH,EXP,6/13/2019,4:00:00 PM,GR,D
110020,6/11/2019,10:00:00 PM,42,CFTKYFC,TEST,STF,,PORT AUTHORITY OF NEW YORK AND NEW,ACTIVE,CONF,JATINDRA DASH,EXP,6/13/2019,4:00:00 PM,GR,GOLDENLARCH
110020,6/13/2019,4:00:00 PM,24,CFTKYDC,SETUP,STF,,PORT AUTHORITY OF NEW YORK AND NEW Shark,ACTIVE,CONF,JATINDRA DASH,EXP,6/14/2019,4:00:00 PM,GR,
110021,9/23/2019,2:00:00 PM,32,CFTKYGC,SETUP,STF,,PORT AUTHORITY OF NEW YORK AND NEW C/S e,ACTIVE,CONF,JATINDRA DASH,,9/24/2019,10:00:00 PM,GR,HEMLOCK
110021,9/23/2019,2:00:00 PM,32,CFTKYDC,SETUP,STF,,PORT AUTHORITY OF NEW YORK AND NEW Shark,ACTIVE,CONF,JATINDRA DASH,,9/24/2019,10:00:00 PM,GR,
110021,9/24/2019,10:00:00 PM,42,CFTKYGC,TEST,STF,,PORT AUTHORITY OF NEW YORK AND NEW,ACTIVE,CONF,JATINDRA DASH,,9/26/2019,4:00:00 PM,GR,HEMLOCK
110021,9/24/2019,10:00:00 PM,42,CFTKYFC,TEST,STF,,PORT AUTHORITY OF NEW YORK AND NEW,ACTIVE,CONF,JATINDRA DASH,,9/26/2019,4:00:00 PM,GR,HEMLOCK
110021,9/24/2019,10:00:00 PM,42,CFTKYDC,TEST,STF,,PORT AUTHORITY OF NEW YORK AND NEW,ACTIVE,CONF,JATINDRA DASH,,9/26/2019,4:00:00 PM,GR,D
